status,slug,title,url,category,pub_date,author,html_built,gsc_clicks,gsc_impressions,gsc_ctr_pct,gsc_avg_position,log_googlebot,log_gptbot,log_oai_searchbot,log_claudebot,log_perplexitybot,log_gemini,log_mistral,log_ai_total,recommendation,redirect_target,reason,your_decision,your_notes
NEW,how-to-write-a-successful-cold-email,The 2025 Cold Email Guide,https://overloop.com/blog/how-to-write-a-successful-cold-email,sales,Mon Feb 10 2025,vincenzo-ruggiero,,12,34057,0.04,7.6,25,1373,2,2,52,0,0,1429,REWRITE,KEEP URL,Core topic. Full rewrite needed.,,
NEW,ai-generated-value-propositions-guide,AI-Generated Value Propositions: Guide,https://overloop.com/blog/ai-generated-value-propositions-guide,sales,Tue Feb 11 2025,vincenzo-ruggiero,,15,12408,0.12,7.9,18,28,1,1,14,0,2,46,REWRITE,KEEP URL,Core topic. Full rewrite needed.,,
NEW,how-to-write-personalized-sales-emails-at-scale,Personalized Sales Email Framework (2025),https://overloop.com/blog/how-to-write-personalized-sales-emails-at-scale,sales,Wed Jan 22 2025,vincenzo-ruggiero,,8,5637,0.14,7.7,3,143,1,2,2,0,0,148,REWRITE,KEEP URL,Core topic. Full rewrite needed.,,
NEW,how-to-compose-a-follow-up-email,How to compose a follow-up email: our guide,https://overloop.com/blog/how-to-compose-a-follow-up-email,sales,Thu Mar 07 2024,vincenzo-ruggiero,,1,672,0.15,13.3,10,4,2,2,0,0,0,8,REWRITE,KEEP URL,Core topic. Full rewrite needed.,,
NEW,best-sales-email-template,The Sales Email Template Every SDR Needs,https://overloop.com/blog/best-sales-email-template,sales,Mon Apr 16 2018,forster-perelsztejn,,0,252,0,13.2,7,2,1,1,0,0,0,4,REWRITE,KEEP URL,Core topic. Full rewrite needed.,,
NEW,increase-reply-rate,31% Reply Rate on Sales Emails [Case Study],https://overloop.com/blog/increase-reply-rate,sales,Tue Aug 15 2017,forster-perelsztejn,,0,209,0,8.1,0,0,0,0,0,0,0,0,REWRITE,KEEP URL,Core topic. Full rewrite needed.,,
NEW,ai-sales-tools-roi-key-metrics-to-track,AI Sales Tools ROI: Key Metrics to Track,https://overloop.com/blog/ai-sales-tools-roi-key-metrics-to-track,sales,Tue Jan 07 2025,vincenzo-ruggiero,,3,21911,0.01,8.3,13,87,1,1,55,0,0,144,MIGRATE,KEEP URL,Has traffic/value. Template conversion.,,
NEW,how-to-use-overloop-email-finder-step-by-step-for-effortless-lead-generation,How to Find B2B Emails (GDPR-Safe Methods),https://overloop.com/blog/how-to-use-overloop-email-finder-step-by-step-for-effortless-lead-generation,sales,Sun May 11 2025,vincenzo-ruggiero,,10,7498,0.13,7.8,4,77,1,1,8,0,0,87,MIGRATE,KEEP URL,Has traffic/value. Template conversion.,,
NEW,10-essential-sales-tools-every-b2b-team-needs-in-2025,10 Sales Tools Every B2B Team Needs (2025),https://overloop.com/blog/10-essential-sales-tools-every-b2b-team-needs-in-2025,sales,Thu Apr 24 2025,vincenzo-ruggiero,,1,7023,0.01,8.2,5,181,1,2,18,0,0,202,MIGRATE,KEEP URL,202 AI hits (181 GPT). Too AI-visible to kill.,,
NEW,common-sales-automation-mistakes-and-how-to-avoid-them,Sales Automation Mistakes (and How to Fix),https://overloop.com/blog/common-sales-automation-mistakes-and-how-to-avoid-them,sales,Mon Feb 03 2025,vincenzo-ruggiero,,4,6880,0.06,7.5,4,32,1,1,7,0,0,41,MIGRATE,KEEP URL,Has traffic/value. Template conversion.,,
NEW,how-ai-follow-up-scheduling-boosts-sales-efficiency,AI Follow-Up Scheduling for More Sales,https://overloop.com/blog/how-ai-follow-up-scheduling-boosts-sales-efficiency,sales,Sun Jan 12 2025,vincenzo-ruggiero,,2,5835,0.03,6.4,2,8,1,1,1,0,0,11,MIGRATE,KEEP URL,Has traffic/value. Template conversion.,,
NEW,lead-generation-strategies-every-saas-business-should-try-today,Lead Generation Strategies Every SaaS Business Should Try Today,https://overloop.com/blog/lead-generation-strategies-every-saas-business-should-try-today,sales,Sat May 03 2025,vincenzo-ruggiero,,3,3460,0.09,22.2,8,37,1,1,4,0,0,43,MIGRATE,KEEP URL,Has traffic/value. Template conversion.,,
NEW,sales-email-tips-to-help-you-close-more-deals,Sales emails tips to help you close more deals,https://overloop.com/blog/sales-email-tips-to-help-you-close-more-deals,sales,Sun Mar 27 2022,vincenzo-ruggiero,,6,2885,0.21,15.8,10,12,2,1,1,0,0,16,MIGRATE,KEEP URL,Has traffic/value. Template conversion.,,
NEW,10-proven-sales-prospecting-tips-to-boost-your-pipeline-fast,10 Sales Prospecting Tips to Boost Pipelines,https://overloop.com/blog/10-proven-sales-prospecting-tips-to-boost-your-pipeline-fast,sales,Sun Jun 15 2025,vincenzo-ruggiero,,3,2480,0.12,16.3,3,30,1,1,0,0,0,32,MIGRATE,KEEP URL,Has traffic/value. Template conversion.,,
NEW,how-to-build-scalable-lead-generation-workflows,How to Build Scalable Lead Generation Workflows,https://overloop.com/blog/how-to-build-scalable-lead-generation-workflows,sales,Sat Jan 18 2025,vincenzo-ruggiero,,2,2325,0.09,11.2,3,28,1,1,3,0,2,35,MIGRATE,KEEP URL,Has traffic/value. Template conversion.,,
NEW,sales-engagement-platforms-compared-top-sales-engagement-platforms-2025-versus-guide,Sales Engagement Platforms Compared (2025),https://overloop.com/blog/sales-engagement-platforms-compared-top-sales-engagement-platforms-2025-versus-guide,sales,Fri Oct 17 2025,,,0,1636,0,8.2,7,122,1,2,15,0,0,140,MIGRATE,KEEP URL,140 AI hits (122 GPT). LLMs cite this actively.,,
