action,current_url,target_url,cluster,slug_keyword,kw_volume,gsc_impressions_3m,gsc_keywords,backlink_domains,note
MIGRATE,/blog/10-best-ai-sales-assistant-tools,KEEP URL,,10-best-ai-sales-assistant-tools,,11782,,,User override: keep as MIGRATE.
MIGRATE,/blog/10-best-practices-for-multi-channel-sales-campaigns,KEEP URL,,10-best-practices-for-multi-channel-sales-campaigns,,5619,,,User override: keep as MIGRATE.
301-CONSOLIDATE,/blog/10-essential-b2b-prospect-sourcing-tools-for-2025-a-checklist-for-success,/blog/top-8-sales-prospecting-tools-for-small-business-teams,,10-essential-b2b-prospect-sourcing-tools-for-2025-a-checklist-for-success,,133,,,Cannibalizes stronger article.
MIGRATE,/blog/10-essential-sales-tools-every-b2b-team-needs-in-2025,KEEP URL,,10-essential-sales-tools-every-b2b-team-needs-in-2025,,7023,,,202 AI hits (181 GPT). Too AI-visible to kill.
MIGRATE,/blog/10-favourite-sales-movies,KEEP URL,,10-favourite-sales-movies,,4715,,,User override: keep as MIGRATE.
MIGRATE,/blog/10-pro-tips-avoid-spam-folder,KEEP URL,,10-pro-tips-avoid-spam-folder,,7025,,,User override: keep as MIGRATE.
MIGRATE,/blog/10-proven-sales-prospecting-tips-to-boost-your-pipeline-fast,KEEP URL,,10-proven-sales-prospecting-tips-to-boost-your-pipeline-fast,,2480,,,Has traffic/value. Template conversion.
REWRITE,/blog/11-best-ai-bdr-tools,KEEP URL,,11-best-ai-bdr-tools,,10561,,,"SPOKE 3: AI BDR. KD 2, already pos 2.4 for 'ai bdr tools' in GSC. Absorb content from ai-agent-tools + ai-sales-assistant. Genuine testing, screenshots, honest comparison."
MIGRATE,/blog/11-best-linkedin-automation-tools-to-accelerate-your-b2b-outreach-in-2025-6b690,KEEP URL,,11-best-linkedin-automation-tools-to-accelerate-your-b2b-outreach-in-2025-6b690,,7042,,,User override: keep as MIGRATE.
301-KILL,/blog/11-sales-influencers-crush-competition,/blog,,11-sales-influencers-crush-competition,,256,,,"256 impr, 1 clicks"
MIGRATE,/blog/17-sentences-never-use-sales-email,KEEP URL,,17-sentences-never-use-sales-email,,1802,,,User override: keep as MIGRATE.
301-KILL,/blog/3-essential-qualities-sdr,/blog,,3-essential-qualities-sdr,,444,,,"444 impr, 1 clicks"
301-KILL,/blog/3-sales-kpi,/blog,,3-sales-kpi,,73,,,Generic. 301 to blog.
REWRITE,/blog/455-email-spam-trigger-words-avoid-2018,KEEP URL — do NOT change slug,,455-email-spam-trigger-words-avoid-2018,,4767,,,"BACKLINK TREASURE: GoDaddy DR93, Etsy DR94, CampaignMonitor DR90, Kajabi DR86. Keep URL for backlinks. Rewrite title: 'Email Spam Trigger Words to Avoid (2026 Updated List)'. Content = fresh, URL = un"
301-KILL,/blog/5-deadly-email-prospecting-mistakes,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,,5-deadly-email-prospecting-mistakes,,63,,,Consolidate.
MIGRATE,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,KEEP URL,,5-main-steps-for-an-effective-cold-email-marketing-strategy,,5414,,,"3.2K impressions. Absorbs all 'cold email tips/rules/checklist' 301s. Light refresh, add internal links to cluster."
301-KILL,/blog/5-reasons-deleted-cold-email,/blog,,5-reasons-deleted-cold-email,,11,,,"11 impr, 0 clicks"
MIGRATE,/blog/5-rules-more-successful-salespeople,KEEP URL,,5-rules-more-successful-salespeople,,795,,,Has traffic/value. Template conversion.
REWRITE,/blog/500-trigger-words,KEEP URL,,500-trigger-words,,14434,,,"REFRAME for cold email: 'Cold Email Power Words: 500+ Words That Get Replies in Outbound'. Keep keyword match, fix topical alignment. Vol 1800, KD 3, pos 6."
301-KILL,/blog/6-cold-email-rules,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,,6-cold-email-rules,,56,,,Consolidate into cold email strategy page.
MIGRATE,/blog/6-reasons-sales-process-broken,KEEP URL,,6-reasons-sales-process-broken,,3014,,,User override: keep as MIGRATE.
MIGRATE,/blog/7-ai-sales-prospecting-tools-that-boost-lead-generation,KEEP URL,,7-ai-sales-prospecting-tools-that-boost-lead-generation,,5239,,,User override: keep as MIGRATE.
301-KILL,/blog/7-bad-habits-salespeople,/blog,,7-bad-habits-salespeople,,13,,,"13 impr, 0 clicks"
301-KILL,/blog/7-cold-email-subject-lines,/blog/500-trigger-words,,7-cold-email-subject-lines,,871,,,Related topic. Pos 81. 301 to reframed trigger words page.
MIGRATE,/blog/7-reasons-emails-bounce,KEEP URL,,7-reasons-emails-bounce,,7736,,,"3 backlink domains, on-topic for deliverability. Light refresh."
301-KILL,/blog/7-sales-tips,/blog,,7-sales-tips,,11,,,"11 impr, 0 clicks"
