locale,current_url,action,target_url,en_equivalent,gsc_impressions,gsc_clicks,note
fr,/fr/blog/adoption-ia-prospection-b2b-analyse,301-KILL-INTL,/blog/ai-sales-tool-adoption-in-b2b-outbound-prospecting-2025-industry-review-analysis,/blog/ai-sales-tool-adoption-in-b2b-outbound-prospecting-2025-industry-review-analysis,0,0,EN=MIGRATE. Locale->EN.
fr,/fr/blog/alternatives-apollo-prospection-b2b,301-KILL-INTL,/blog/apollo-alternatives,/blog/apollo-alternatives,39,0,EN=REWRITE. Locale->EN.
fr,/fr/blog/ameliorations-listes,301-KILL-INTL,/blog,/blog/lists-improvements,1,0,EN=301-KILL->/blog.
fr,/fr/blog/apollo-vs-lemlist-comparatif-prospection,301-KILL-INTL,/versus/apollo-vs-lemlist,/blog/apollo-vs-lemlist-which-prospecting-tool-wins-for-b2b-sales-teams-95e78,30,0,EN=VS-REDIRECT->/versus/apollo-vs-lemlist.
fr,/fr/blog/assistant-commercial-ia-guide-b2b,301-KILL-INTL,/blog,/blog/how-to-use-an-ai-sales-assistant-the-b2b-sales-team-s-step-by-step-guide,36,0,EN=301-KILL->/blog.
fr,/fr/blog/attirer-recruter-talents-commerciaux,301-KILL-INTL,/blog,/blog/attract-hire-lead-talent,5,0,EN=301-KILL->/blog.
fr,/fr/blog/augmenter-taux-reponse-emails,301-KILL-INTL,/blog/increase-reply-rate,/blog/increase-reply-rate,15,0,EN=REWRITE. Locale->EN.
fr,/fr/blog/augmenter-ventes-saas-croissance,301-KILL-INTL,/blog/increase-saas-sales-growth-system,/blog/increase-saas-sales-growth-system,24,0,EN=MIGRATE. Locale->EN.
fr,/fr/blog/automatisation-emails-ventes,301-KILL-INTL,/blog/email-automation,/blog/email-automation,2,0,EN=MIGRATE. Locale->EN.
fr,/fr/blog/automatisation-prospection-email-b2b,301-KILL-INTL,/blog/9-best-ai-email-outreach-tools,/blog/the-ultimate-guide-to-email-outreach-automation-for-b2b-sales-teams,0,0,EN=CONSOLIDATE->/blog/9-best-ai-email-outreach-tools.
fr,/fr/blog/automatisation-vente-account-based-selling,301-KILL-INTL,/blog,/blog/quick-guide-lead-generation-for-2019,33,0,EN=301-KILL->/blog.
fr,/fr/blog/automatisation-ventes-b2b,301-KILL-INTL,/blog/best-ai-sales-tools,/blog/the-ultimate-guide-to-b2b-sales-automation-solutions-in-2025,2,0,EN=301-KILL->/blog/best-ai-sales-tools.
fr,/fr/blog/automatisations-prospection,301-KILL-INTL,/blog/automations,/blog/automations,1,0,EN=MIGRATE. Locale->EN.
fr,/fr/blog/automatiser-gestion-listes-prospects-pme,301-KILL-INTL,/blog,/blog/how-to-automate-sales-leads-list-management-for-small-businesses-the-ultimate-guide,104,0,EN=301-KILL->/blog.
fr,/fr/blog/avis-la-growth-machine,301-KILL-INTL,/blog/la-growth-machine-review,/blog/la-growth-machine-review,48,0,EN=REWRITE. Locale->EN.
fr,/fr/blog/bonnes-pratiques-liens-emails,301-KILL-INTL,/blog/best-practices-for-links-in-your-emails,/blog/best-practices-for-links-in-your-emails,74,0,EN=MIGRATE. Locale->EN.
fr,/fr/blog/boutique,301-KILL-INTL,/blog,/blog/store,14,0,EN=301-KILL->/blog.
fr,/fr/blog/campagnes-cold-email-taux-reponse,301-KILL-INTL,/blog/increase-reply-rate,/blog/cold-email-campaigns-reply-rates,9,1,EN=CONSOLIDATE->/blog/increase-reply-rate.
fr,/fr/blog/checklist-email-froid,301-KILL-INTL,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,/blog/ultimate-cold-email-checklist,0,0,EN=301-KILL->/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy.
fr,/fr/blog/checklist-outils-sdr-ia,301-KILL-INTL,/blog/the-ultimate-checklist-for-selecting-the-best-ai-sdr-tools-in-2025,/blog/the-ultimate-checklist-for-selecting-the-best-ai-sdr-tools-in-2025,31,0,EN=MIGRATE. Locale->EN.
fr,/fr/blog/cles-succes-vente,301-KILL-INTL,/blog/5-rules-more-successful-salespeople,/blog/sales-skills,9,0,EN=301-KILL->/blog/5-rules-more-successful-salespeople.
fr,/fr/blog/cold-email-est-il-illegal,301-KILL-INTL,/blog/cold-email-illegal,/blog/cold-email-illegal,26,0,EN=REWRITE. Locale->EN.
fr,/fr/blog/cold-email-link-building,301-KILL-INTL,/blog/cold-emailing-link-building,/blog/cold-emailing-link-building,1,0,EN=REWRITE. Locale->EN.
fr,/fr/blog/comparaison-plateformes-engagement-commercial,301-KILL-INTL,/blog/sales-engagement-platforms-compared-top-sales-engagement-platforms-2025-versus-guide,/blog/sales-engagement-platforms-compared-top-sales-engagement-platforms-2025-versus-guide,64,0,EN=MIGRATE. Locale->EN.
fr,/fr/blog/conseils-commerciaux-debutants,301-KILL-INTL,/blog,/blog/7-sales-tips,6,0,EN=301-KILL->/blog.
fr,/fr/blog/conseils-emails-commerciaux-conclure-ventes,301-KILL-INTL,/blog/sales-email-tips-to-help-you-close-more-deals,/blog/sales-email-tips-to-help-you-close-more-deals,12,0,EN=MIGRATE. Locale->EN.
